ra,dec,name
189.45023763564134,-1.5473056559709442,ra_188.94023763564135_dec_-1.5473056559709442
189.4591850040624,-1.5383582875498916,ra_188.94023763564135_dec_-1.5383582875498916
189.46813237248347,-1.5294109191288388,ra_188.94023763564135_dec_-1.5294109191288388
189.47707974090451,-1.5204635507077862,ra_188.94023763564135_dec_-1.5204635507077862
189.48602710932556,-1.5115161822867336,ra_188.94023763564135_dec_-1.5115161822867336
189.4949744777466,-1.502568813865681,ra_188.94023763564135_dec_-1.502568813865681
189.50392184616766,-1.4936214454446284,ra_188.94023763564135_dec_-1.4936214454446284
189.5128692145887,-1.4846740770235756,ra_188.94023763564135_dec_-1.4846740770235756
189.52181658300978,-1.4757267086025232,ra_188.94023763564135_dec_-1.4757267086025232
189.53076395143083,-1.4667793401814704,ra_188.94023763564135_dec_-1.4667793401814704
189.53971131985188,-1.4578319717604178,ra_188.94023763564135_dec_-1.4578319717604178
189.54865868827292,-1.4488846033393652,ra_188.94023763564135_dec_-1.4488846033393652
189.55760605669397,-1.4399372349183124,ra_188.94023763564135_dec_-1.4399372349183124
189.56655342511505,-1.43098986649726,ra_188.94023763564135_dec_-1.43098986649726
189.5755007935361,-1.4220424980762072,ra_188.94023763564135_dec_-1.4220424980762072
189.58444816195714,-1.4130951296551546,ra_188.94023763564135_dec_-1.4130951296551546
189.5933955303782,-1.404147761234102,ra_188.94023763564135_dec_-1.404147761234102
189.60234289879924,-1.3952003928130492,ra_188.94023763564135_dec_-1.3952003928130492
189.61129026722028,-1.3862530243919968,ra_188.94023763564135_dec_-1.3862530243919968
189.62023763564136,-1.377305655970944,ra_188.94023763564135_dec_-1.377305655970944
189.6291850040624,-1.3683582875498914,ra_188.94023763564135_dec_-1.3683582875498914
189.63813237248345,-1.3594109191288388,ra_188.94023763564135_dec_-1.3594109191288388
189.6470797409045,-1.3504635507077862,ra_188.94023763564135_dec_-1.3504635507077862
189.65602710932555,-1.3415161822867336,ra_188.94023763564135_dec_-1.3415161822867336
189.6649744777466,-1.3325688138656808,ra_188.94023763564135_dec_-1.3325688138656808
189.67392184616767,-1.3236214454446285,ra_188.94023763564135_dec_-1.3236214454446285
189.68286921458872,-1.3146740770235756,ra_188.94023763564135_dec_-1.3146740770235756
189.69181658300977,-1.305726708602523,ra_188.94023763564135_dec_-1.305726708602523
189.70076395143082,-1.2967793401814705,ra_188.94023763564135_dec_-1.2967793401814705
189.70971131985186,-1.2878319717604176,ra_188.94023763564135_dec_-1.2878319717604176
189.71865868827294,-1.2788846033393653,ra_188.94023763564135_dec_-1.2788846033393653
189.727606056694,-1.2699372349183125,ra_188.94023763564135_dec_-1.2699372349183125
189.73655342511503,-1.2609898664972599,ra_188.94023763564135_dec_-1.2609898664972599
189.74550079353608,-1.2520424980762073,ra_188.94023763564135_dec_-1.2520424980762073
189.75444816195713,-1.2430951296551545,ra_188.94023763564135_dec_-1.2430951296551545
189.76339553037818,-1.234147761234102,ra_188.94023763564135_dec_-1.234147761234102
189.77234289879925,-1.2252003928130493,ra_188.94023763564135_dec_-1.2252003928130493
189.7812902672203,-1.2162530243919967,ra_188.94023763564135_dec_-1.2162530243919967
189.79023763564135,-1.207305655970944,ra_188.94023763564135_dec_-1.207305655970944
